brand_name,product_name,product_id,beauty_point_earned,price_range,price_by_combinations,url,active_date,default_category,categories,rating_types_str,average_rating,total_reviews,average_rating_by_types,total_recommended_count,total_repurchase_maybe_count,total_repurchase_no_count,total_repurchase_yes_count,total_in_wishlist,brand_name_clean,category_clean,price_numeric,log_reviews,log_wishlist,log_price,review_wishlist_ratio,popularity_score,brand_limited,category_limited,brand_encoded,category_encoded,price_tier,brand_encoded_scaled,category_encoded_scaled,log_reviews_scaled,log_wishlist_scaled,log_price_scaled,review_wishlist_ratio_scaled,popularity_score_scaled,average_rating_scaled
Unknown,MULTI EYE COLOR PALETTE,97802,130,Rp 555.000 - Rp 687.000,,https://www.sociolla.com/eyeshadow/69460-phan-mat-3ce-multi-eye-color-palette,2022-10-03T03:30:06.681Z,Eyeshadow,Makeup; Eyes; Eyeshadow,is_star_long_wear;is_star_packaging;is_star_pigmentation;is_star_texture;is_star_value_for_money,4.92,5,"""star_long_wear"": 5; ""star_packaging"": 4.8; ""star_pigmentation"": 4.8; ""star_texture"": 5; ""star_value_for_money"": 5",5,0,0,5,717,Unknown,Eyeshadow,1000,1.791759469228055,6.576469569048224,6.90875477931522,0.27245005096060476,4.478468711482884,Other,Eyeshadow,35,12,Budget,0.38382084800833954,-0.7526143786366958,-0.8485605220241553,0.8120124644961355,2.6645352591003757e-15,-0.7662051984348799,0.03471722348773348,1.070266546156413
Unknown,VELVET LIP TINT,97810,50,Rp 264.000,,https://www.sociolla.com/lip-cream/69468-son-kem-li-3ce-velvet-lip-tint,2022-10-03T03:02:40.340Z,Lip Cream,Makeup; Lips; Lip Cream,is_star_long_wear;is_star_packaging;is_star_pigmentation;is_star_texture;is_star_value_for_money,4.576190476190476,42,"""star_long_wear"": 4.309523809523809; ""star_packaging"": 4.785714285714286; ""star_pigmentation"": 4.690476190476191; ""star_texture"": 4.761904761904762; ""star_value_for_money"": 4.333333333333333",42,10,2,30,682,Unknown,Lip Cream,1000,3.7612001156935624,6.52649485957079,6.90875477931522,0.5762971084207542,4.916784683055496,Other,Lip Cream,35,21,Budget,0.38382084800833954,0.37590862279244636,0.20041172023029682,0.7816058085984691,2.6645352591003757e-15,-0.16802467795194903,0.4884042669075657,-0.2543375401309414
Unknown,MINI MULTI EYE COLOR PALETTE,97833,80,Rp 423.000,,https://www.sociolla.com/eyeshadow/69491-phan-mat-3ce-mini-multi-eye-color-palette,2022-10-03T03:27:01.334Z,Eyeshadow,Makeup; Eyes; Eyeshadow,is_star_long_wear;is_star_packaging;is_star_pigmentation;is_star_texture;is_star_value_for_money,4.883333333333334,6,"""star_long_wear"": 4.916666666666667; ""star_packaging"": 5; ""star_pigmentation"": 4.833333333333333; ""star_texture"": 4.916666666666667; ""star_value_for_money"": 4.75",12,1,0,11,257,Unknown,Eyeshadow,1000,1.9459101490553132,5.552959584921617,6.90875477931522,0.3504275727738401,4.202994253526413,Other,Eyeshadow,35,12,Budget,0.38382084800833954,-0.7526143786366958,-0.766456100876128,0.18926715550706147,2.6645352591003757e-15,-0.6126916677325863,-0.2504177030802977,0.9289999053750766
Unknown,FACE BLUSH,97801,60,Rp 300.000,,https://www.sociolla.com/blush/69459-phan-ma-hong-3ce-face-blush,2022-10-03T03:22:26.610Z,Blush,Makeup; Face; Blush,is_star_long_wear;is_star_packaging;is_star_pigmentation;is_star_texture;is_star_value_for_money,4.858823529411765,13,"""star_long_wear"": 4.9411764705882355; ""star_packaging"": 5; ""star_pigmentation"": 4.705882352941177; ""star_texture"": 4.882352941176471; ""star_value_for_money"": 4.764705882352941",17,2,0,15,387,Unknown,Blush,1000,2.6390573296152584,5.961005339623274,6.90875477931522,0.4427201754162567,4.523548212536266,Other,Other,35,23,Budget,0.38382084800833954,0.6266915119989224,-0.3972689646660541,0.43753887100986794,2.6645352591003757e-15,-0.4309961872930374,0.08137759381001831,0.8345703326602786
Unknown,BLUR WATER TINT,97817,50,Rp 264.000,,https://www.sociolla.com/lip-tint/69475-blur-water-tint,2022-09-30T17:10:51.736Z,Lip Tint,Makeup; Lips; Lip Tint,is_star_long_wear;is_star_packaging;is_star_pigmentation;is_star_texture;is_star_value_for_money,4.729629629629629,51,"""star_long_wear"": 4.703703703703703; ""star_packaging"": 4.777777777777778; ""star_pigmentation"": 4.7592592592592595; ""star_texture"": 4.777777777777778; ""star_value_for_money"": 4.62962962962963",53,3,3,48,1050,Unknown,Lip Tint,1000,3.9512437185814275,6.957497370876951,6.90875477931522,0.5679116366066835,5.164474178689366,Other,Lip Tint,35,22,Budget,0.38382084800833954,0.5013000673956843,0.30163358980284094,1.0438453531471825,2.6645352591003757e-15,-0.1845330685092399,0.744779854949909,0.33682156270582786
Unknown,CLOUD LIP TINT,97818,50,Rp 264.000,,https://www.sociolla.com/lip-cream/69476-son-kem-li-3ce-cloud-lip-tint,2022-10-03T03:23:16.816Z,Lip Cream,Makeup; Lips; Lip Cream,is_star_long_wear;is_star_packaging;is_star_pigmentation;is_star_texture;is_star_value_for_money,4.768421052631579,17,"""star_long_wear"": 4.842105263157895; ""star_packaging"": 4.7894736842105265; ""star_pigmentation"": 4.684210526315789; ""star_texture"": 4.7894736842105265; ""star_value_for_money"": 4.7368421052631575",19,0,0,19,213,Unknown,Lip Cream,1000,2.8903717578961645,5.365976015021851,6.90875477931522,0.5386479085640107,4.3842727529280365,Other,Lip Cream,35,21,Budget,0.38382084800833954,0.37590862279244636,-0.26341275538255443,0.07549870886853198,2.6645352591003757e-15,-0.2421442634905598,-0.06278204350342138,0.4862743086680107
Unknown,NEW TAKE EYESHADOW PALETTE,98428,170,Rp 880.000,,https://www.sociolla.com/eyeshadow/70086-new-take-eyeshadow-palette,2022-12-11T15:01:17.357Z,Eyeshadow,Makeup; Eyes; Eyeshadow,is_star_long_wear;is_star_packaging;is_star_pigmentation;is_star_texture;is_star_value_for_money,5.0,1,"""star_long_wear"": 5; ""star_packaging"": 5; ""star_pigmentation"": 5; ""star_texture"": 5; ""star_value_for_money"": 5",5,0,0,5,445,Unknown,Eyeshadow,1000,0.6931471805599453,6.100318952020064,6.90875477931522,0.11362474421610627,4.038039839774003,Other,Eyeshadow,35,12,Budget,0.38382084800833954,-0.7526143786366958,-1.4337082886657562,0.5223029670557466,2.6645352591003757e-15,-1.0788829167858158,-0.42115681624990464,1.378484671497515
Unknown,SUPER SLIM EYE BROW PENCIL,98369,40,Rp 212.000,,https://www.sociolla.com/default-category/70027-super-slim-eye-brow-pencil,2022-09-30T17:17:39.698Z,Eyebrows,Makeup; Eyes; Eyebrows,is_star_long_wear;is_star_packaging;is_star_pigmentation;is_star_texture;is_star_value_for_money,5.0,1,"""star_long_wear"": 5; ""star_packaging"": 5; ""star_pigmentation"": 5; ""star_texture"": 5; ""star_value_for_money"": 5",4,0,0,4,103,Unknown,Eyebrows,1000,0.6931471805599453,4.6443908991413725,6.90875477931522,0.14924393652741208,3.6012614239103953,Other,Eyebrows,35,10,Budget,0.38382084800833954,-1.003397267843172,-1.4337082886657562,-0.3635431694912201,2.6645352591003757e-15,-1.0087597858459911,-0.8732523842297497,1.378484671497515
Unknown,VELVET FIT FOUNDATION,98368,110,Rp 564.000,,https://www.sociolla.com/foundation/70026-velvet-fit-foundation,2022-09-30T17:16:34.037Z,Foundation,Makeup; Face; Foundation,is_star_long_wear;is_star_packaging;is_star_pigmentation;is_star_texture;is_star_value_for_money,5.0,1,"""star_long_wear"": 5; ""star_packaging"": 5; ""star_pigmentation"": 5; ""star_texture"": 5; ""star_value_for_money"": 5",2,0,0,2,195,Unknown,Foundation,1000,0.6931471805599453,5.278114659230517,6.90875477931522,0.13132476751859679,3.7913785519371386,Other,Other,35,23,Budget,0.38382084800833954,0.6266915119989224,-1.4337082886657562,0.02204026878583584,2.6645352591003757e-15,-1.0440370662446026,-0.6764681388177984,1.378484671497515
Unknown,LIQUID PRIMER EYE SHADOW,98363,50,Rp 264.000,,https://www.sociolla.com/eyeshadow/70021-liquid-primer-eye-shadow,2022-09-30T17:09:43.152Z,Eyeshadow,Makeup; Eyes; Eyeshadow,is_star_long_wear;is_star_packaging;is_star_pigmentation;is_star_texture;is_star_value_for_money,4.975,2,"""star_long_wear"": 5; ""star_packaging"": 5; ""star_pigmentation"": 5; ""star_texture"": 4.875; ""star_value_for_money"": 5",8,0,0,8,335,Unknown,Eyeshadow,1000,1.0986122886681098,5.817111159963204,6.90875477931522,0.18885874078346804,4.064717034589394,Other,Eyeshadow,35,12,Budget,0.38382084800833954,-0.7526143786366958,-1.2177476582342295,0.3499877706162495,2.6645352591003757e-15,-0.930770535508015,-0.3935440929464261,1.2821665073284192
Unknown,[ 3CE x TOILETPAPER]   MAKEUP FIX POWDER,98429,110,Rp 581.000,,https://www.sociolla.com/pressed-powder/70087-3ce-x-toiletpaper-makeup-fix-powder,2022-12-11T14:59:10.389Z,Pressed Powder,Makeup; Face; Pressed Powder,is_star_long_wear;is_star_packaging;is_star_pigmentation;is_star_texture;is_star_value_for_money,5.0,3,"""star_long_wear"": 5; ""star_packaging"": 5; ""star_pigmentation"": 5; ""star_texture"": 5; ""star_value_for_money"": 5",4,0,0,4,109,Unknown,Pressed Powder,1000,1.3862943611198906,4.700480365792417,6.90875477931522,0.29492610398047825,3.826032418073692,Other,Other,35,23,Budget,0.38382084800833954,0.6266915119989224,-1.0645211524556824,-0.3294160453963407,2.6645352591003757e-15,-0.7219568281981755,-0.6405990145097076,1.378484671497515
Unknown,SOFT MATTE LIPSTICK,98409,60,Rp 317.000,,https://www.sociolla.com/lipstick/70067-soft-matte-lipstick,2022-09-30T17:10:12.816Z,Lipstick,Makeup; Lips; Lipstick,is_star_long_wear;is_star_packaging;is_star_pigmentation;is_star_texture;is_star_value_for_money,4.844444444444445,4,"""star_long_wear"": 4.777777777777778; ""star_packaging"": 4.888888888888889; ""star_pigmentation"": 4.888888888888889; ""star_texture"": 4.888888888888889; ""star_value_for_money"": 4.777777777777778",9,0,0,9,243,Unknown,Lipstick,1000,1.6094379124341003,5.497168225293202,6.90875477931522,0.29277581592443586,4.069759619095969,Other,Other,35,23,Budget,0.38382084800833954,0.6266915119989224,-0.9456694410386521,0.15532141190948828,2.6645352591003757e-15,-0.726190077778749,-0.3883246727008572,0.7791716500009305
