brand_name,product_name,product_id,beauty_point_earned,price_range,price_by_combinations,url,active_date,default_category,categories,rating_types_str,average_rating,total_reviews,average_rating_by_types,total_recommended_count,total_repurchase_maybe_count,total_repurchase_no_count,total_repurchase_yes_count,total_in_wishlist,brand_name_clean,category_clean,price_numeric,log_reviews,log_wishlist,log_price,review_wishlist_ratio,popularity_score,brand_limited,category_limited,brand_encoded,category_encoded,price_tier,brand_encoded_scaled,category_encoded_scaled,log_reviews_scaled,log_wishlist_scaled,log_price_scaled,review_wishlist_ratio_scaled,popularity_score_scaled,average_rating_scaled
Loreal-paris,Infallible Oil Killer High Coverage Powder,89079,30,Rp 190.000,"""6 gr"": 190000",https://www.sociolla.com/pressed-powder/60737-infallible-oil-killer-high-coverage-powder-natural-matte-and-24-jam-oil-control,2022-09-19T08:19:16.517Z,Pressed Powder,Makeup; Face; Pressed Powder,is_star_long_wear;is_star_packaging;is_star_pigmentation;is_star_texture;is_star_value_for_money,4.788850967007963,879,"""star_long_wear"": 4.81683731513083; ""star_packaging"": 4.85551763367463; ""star_pigmentation"": 4.774744027303754; ""star_texture"": 4.856655290102389; ""star_value_for_money"": 4.640500568828214",865,129,10,740,1158,Loreal-paris,Pressed Powder,1000,6.779921907472252,7.055312843339752,6.90875477931522,0.9609668710683085,6.0661108120467855,Loreal-paris,Other,25,23,Budget,-0.4981294959389359,0.6266915119989224,1.8082567560009284,1.1033602846744395,2.6645352591003757e-15,0.5892706559504967,1.67803550830721,0.5649851825426127
Aeris-beaute,The Onyx 2.0 - Individual Brushes X9-Eye Blending,104053,0,Rp 45.000,,https://www.sociolla.com/face-brushes/75711-the-onyx-2-0-individual-brushes-x9-eye-blending,,Face Brushes,Accessories; Makeup Brushes; Face Brushes,is_star_durability;is_star_eficiency;is_star_packaging;is_star_value_for_money,5.0,1,"""star_durability"": 5; ""star_eficiency"": 5; ""star_packaging"": 5; ""star_value_for_money"": 5",1,0,0,1,10,Aeris-beaute,Face Brushes,1000,0.6931471805599453,2.3978952727983707,6.90875477931522,0.2890648263178878,2.9273127360074946,Aeris-beaute,Face Brushes,0,13,Budget,-2.7030053558071248,-0.6272229340334579,-1.4337082886657562,-1.7304029311606506,2.6645352591003757e-15,-0.7334958641599214,-1.5708354235479707,1.378484671497515
Pyunkang-yul,Calming Moisture Mist,102361,40,Rp 230.000,"""100ml"": 230000",https://www.sociolla.com/default-category/74019-calming-moisture-mist,2023-10-16T02:48:09.434Z,Toner,Skincare; Treatment; Toner,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.8500000000000005,5,"""star_effectiveness"": 4.8; ""star_packaging"": 5; ""star_texture"": 4.8; ""star_value_for_money"": 4.8",5,2,0,3,114,Pyunkang-yul,Toner,1000,1.791759469228055,4.74493212836325,6.90875477931522,0.3776154053959286,3.901007479277392,Other,Toner,35,29,Budget,0.38382084800833954,1.3790401796183505,-0.8485605220241553,-0.3023697761399594,2.6645352591003757e-15,-0.5591672663293683,-0.5629946923909267,0.8005756864829513
Vaseline,Multi Purpose Repairing Jelly Aloe,74274,0,Rp 33.000,"""50 ml"": 33000",https://www.sociolla.com/body-butter-cream/27454-multi-purpose-repairing-jelly-aloe,,Body Butter & Cream,Bath & Body; Body Care; Body Butter & Cream,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.730725623582766,441,"""star_effectiveness"": 4.727891156462585; ""star_packaging"": 4.675736961451247; ""star_texture"": 4.680272108843537; ""star_value_for_money"": 4.839002267573696",437,72,7,362,971,Vaseline,Body Butter & Cream,1000,6.091309882077698,6.879355804460439,6.90875477931522,0.8854477156317765,5.783489955394548,Vaseline,Other,47,23,Budget,1.4421612607450702,0.6266915119989224,1.4414851543190719,0.9963008302039439,2.6645352591003757e-15,0.440596885392818,1.3855035697531701,0.3410441277260911
Hada-labo,Gokujyun Ultimate Moisturizing Milk,1665,10,Rp 60.000,"""100 ml"": 60000",https://www.sociolla.com/face-cream-lotion/7373-gokujyun-ultimate-moisturizing-milk,,Face Cream,Skincare; Moisturizer; Face Cream & Lotion,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.424978687127025,1173,"""star_effectiveness"": 4.333333333333333; ""star_packaging"": 4.404092071611253; ""star_texture"": 4.3768115942028984; ""star_value_for_money"": 4.585677749360614",1066,255,178,740,2786,Hada-labo,Face Cream,1000,7.068172000388042,7.932721027481948,6.90875477931522,0.8910148202490947,6.270259383211807,Other,Face Cream,35,14,Budget,0.38382084800833954,-0.5018314894302198,1.961785803367031,1.6372112868309414,2.6645352591003757e-15,0.4515567859605802,1.8893432581433312,-0.8369152170635785
Wardah,Perfect Bright Super-Glow Berry Serum,102656,0,Rp 17.000,"""8 ml"": 17000",https://www.sociolla.com/face-serum/74314-perfect-bright-super-glow-berry-serum,2023-03-03T02:58:41.295Z,Face Serum,Skincare; Treatment; Face Serum,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.25,5,"""star_effectiveness"": 4; ""star_packaging"": 4.4; ""star_texture"": 4.2; ""star_value_for_money"": 4.4",5,2,0,3,40,Wardah,Face Serum,1000,1.791759469228055,3.713572066704308,6.90875477931522,0.4824894837218527,3.351599460779709,Wardah,Face Serum,48,16,Budget,1.5303562951397978,-0.25104860022374376,-0.8485605220241553,-0.9298913931614695,2.6645352591003757e-15,-0.3527027664505216,-1.1316696111922124,-1.5110602535753133
Muldream,Vegan Clear Skin Aha Pha Ampoule,106697,70,Rp 355.000,,https://www.sociolla.com/ampoule/78355-vegan-clear-skin-aha-pha-ampoule,2023-09-27T03:41:38.582Z,Ampoule,Skincare; Treatment; Ampoule,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.875,2,"""star_effectiveness"": 5; ""star_packaging"": 5; ""star_texture"": 5; ""star_value_for_money"": 4.5",2,0,0,2,5,Muldream,Ampoule,1000,1.0986122886681098,1.791759469228055,6.90875477931522,0.6131471927654585,2.8171115273688496,Other,Other,35,23,Budget,0.38382084800833954,0.6266915119989224,-1.2177476582342295,-2.09920072906962,2.6645352591003757e-15,-0.09547830275446628,-1.684901220304538,0.8968938506520435
Bioderma,Bioderma Atoderm Gel Douche - Moisturizing Gentle Cleanser,8776,70,Rp 125.000 - Rp 365.000,"""200 ml"": 215000; ""100 ml"": 125000; ""500 ML  "": 365000",https://www.sociolla.com/body-wash/10510-atoderm-gel-douche,2022-05-20T06:01:50.231Z,Body Wash,Bath & Body; Body Cleanser; Body Wash,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.528267207098927,393,"""star_effectiveness"": 4.629441624365482; ""star_packaging"": 4.654911838790932; ""star_texture"": 4.644836272040302; ""star_value_for_money"": 4.183879093198993",387,136,27,234,392,Bioderma,Body Wash,1000,5.976350909297934,5.973809611869261,6.90875477931522,1.0004254064983296,5.3963550391897295,Other,Body Wash,35,2,Budget,0.38382084800833954,-2.006528824669076,1.3802551946041273,0.4453295136023894,2.6645352591003757e-15,0.6669522614869262,0.9847924231632226,-0.4389727921261212
Biyu,Oil Control Cleanser pH Balanced,85506,20,Rp 109.000 - Rp 119.000,"""80 ml"": 109000",https://www.sociolla.com/face-wash/57164-oil-control-cleanser,2023-10-31T09:03:16.346Z,Face Wash,Skincare; Cleanser; Face Wash,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.68351548269581,549,"""star_effectiveness"": 4.672131147540983; ""star_packaging"": 4.757741347905283; ""star_texture"": 4.785063752276867; ""star_value_for_money"": 4.51912568306011",525,78,28,443,1127,Biyu,Face Wash,1000,6.309918278226516,7.028201432058005,6.90875477931522,0.8977998623438486,5.87484210616368,Other,Face Wash,35,17,Budget,0.38382084800833954,-0.12565715562050572,1.5579213312078846,1.0868645939067634,2.6645352591003757e-15,0.4649144272873215,1.4800593009618475,0.1591563637102549
Sundae-shower,Carecoal - SUNDAE Shower Cream,99926,10,Rp 89.000,"""100ml"": 89000",https://www.sociolla.com/body-wash/71584-careoal-sundae-shower-cream,2022-12-16T10:10:48.177Z,Body Wash,Bath & Body; Body Cleanser; Body Wash,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.625,6,"""star_effectiveness"": 4.666666666666667; ""star_packaging"": 4.666666666666667; ""star_texture"": 4.5; ""star_value_for_money"": 4.666666666666667",4,0,2,4,74,Sundae-shower,Body Wash,1000,1.9459101490553132,4.31748811353631,6.90875477931522,0.4507042284504365,3.729019478777487,Other,Body Wash,35,2,Budget,0.38382084800833954,-2.006528824669076,-0.766456100876128,-0.5624441859817748,2.6645352591003757e-15,-0.41527806568451936,-0.7410140494555002,-0.06628779103889917
Indoganic,"Beauty Rose Essence C with Vitamin C, Niacinamide, Rose Hydrosol, 8 Botanical Extracts",86932,30,Rp 86.000 - Rp 166.000,"""60 ml"": 166000; ""20 ml"": 86000",https://www.sociolla.com/essence/58590-beauty-rose-essence-c-with-vitamin-c-niacinamide-rose-hydrosol-8-botanical-extracts,,Essence,Skincare; Treatment; Essence,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.652173913043479,46,"""star_effectiveness"": 4.543478260869565; ""star_packaging"": 4.782608695652174; ""star_texture"": 4.630434782608695; ""star_value_for_money"": 4.6521739130434785",42,9,5,32,299,Indoganic,Essence,1000,3.8501476017100584,5.703782474656201,6.90875477931522,0.6750165559113698,4.7270485881272695,Other,Essence,35,8,Budget,0.38382084800833954,-1.2541801570496478,0.24778732609944,0.28103396631207456,2.6645352591003757e-15,0.026323264645680543,0.2920144168430866,0.0384058656666424
